 Subj,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
"ME","161","Modern Manufacturing Processes","91348","A","LEC","M","75","71","16:05","17:20","M  W     ","ANGELL","B112","Fletcher III, John Grover","3"
"ME","171","Design of Elements","94175","A","LEC","M","30","20","10:00","11:15"," T  R    ","JEFFRD","127","Novotny, John Emil","3"
"ME","171","Design of Elements","94188","B","LEC","M","40","39","10:00","11:15"," T  R    ","VOTEY","209","Huston, Dryver R.","3"
"ME","185","Capstone Design I","91267","A","LEC","M","75","75","12:50","13:40","M  W  F   ","VOTEY","105","Novotny, John Emil","2"
"ME","193","College Honors","93473","A","IS","M","3","2","TBA","","       ","","","Marshall, Jeffrey Scott","1 to 3"
"ME","195","Matrls Science & Engineering","94855","A","LEC","M","1","1","TBA","","       ","ONCMP","SEE NOTES","Oldinski, Rachael ","3"
"ME","195","ST: Self-Healing Structures","94957","B","IS","M","1","1","TBA","","       ","","","Huston, Dryver R.","1 to 18"
"ME","195","Building Energy Systems","94963","C","IS","M","1","1","TBA","","       ","","","Louisos, William ","3"
"ME","195","Global Rnwble Energy (GREEN)","94964","D","IS","M","1","1","TBA","","       ","","","Louisos, William ","3"
"ME","203","Machinery Analysis & Synthesis","94195","A","LEC","M","25","17","16:00","17:15"," T  R    ","PERKIN","101","Huston, Dryver R.","3"
"ME","237","Turbulence","94678","A","LEC","M","25","22","13:00","14:15"," T  R    ","HARRIS","115","Dubief, Yves ","3"
"ME","238","Energy Systems Engineering","94580","A","LEC","M","35","34","10:40","11:30","M  W  F   ","WATERM","413","Varhue, Walter John","3"
"ME","240","Compressible Flow","91592","A","LEC","M","25","24","11:30","12:45"," T  R    ","DEWEY","212","Louisos, William ","3"
"ME","281","Seminar","91271","A","SEM","M","10","0","15:00","15:50","    F   ","PERKIN","101","Sansoz, Frederic P.","1"
"ME","295","Biomaterials","94618","B","LEC","M","35","31","10:00","11:15"," T  R    ","TORREY","203","Oldinski, Rachael ","3"
"ME","295","Computational Solid Mechanics","94619","C","LEC","M","25","23","13:00","14:15","   R    ","VOTEY","206","Sansoz, Frederic P.","3"
"ME","295","Num Meth Engr","94627","E","LEC","M","15","9","14:30","15:45"," T  R    ","PERKIN","200","Marshall, Jeffrey Scott","3"
"ME","295","Adv Computational Fluid Dynam","95006","F","INTN","M","1","1","TBA","","       ","ONCMP","SEE NOTES","Dubief, Yves ","3"
"ME","304","Adv Engineering Analysis I","92613","A","LEC","M","30","26","08:30","09:45"," T  R    ","PERKIN","101","Hitt, Darren L.","3"
"ME","336","Continuum Mechanics","94924","B","LEC","M","1","0","TBA","","       ","ONCMP","SEE NOTES","Sansoz, Frederic P.","3"
"ME","391","Master's Thesis Research","91272","A","TD","M","14","10","TBA","","       ","","","Sansoz, Frederic P.","1 to 18"
"ME","395","Num Meth Engr","94626","A","LEC","M","15","13","14:30","15:45"," T  R    ","PERKIN","200","Marshall, Jeffrey Scott","3"
"ME","395","Adv Fluid Dyn:Bndry Layer Flow","94953","B","IS","M","1","1","TBA","","       ","","","Fletcher, Douglas G.","3"
"ME","395","Adv Computational Fluid Dynam","95007","C","TD","M","1","1","TBA","","       ","","","Dubief, Yves ","3"
"ME","491","Doctoral Dissertation Research","91273","A","TD","M","12","9","TBA","","       ","","","Sansoz, Frederic P.","0 to 18"
"MLRS","140","Radiation Science","90325","A","LEC","M","24","17","10:40","11:30","M  W  F   ","ROWELL","244","Chaudhry, M. Ahmad ","3"
"MLRS","140","Radiation Science","93682","ZRA","LEC","C","6","1","10:40","11:30","M  W  F   ","ROWELL","244","Chaudhry, M. Ahmad ","3"
"MLRS","175","Medical Imaging","90327","A","LEC","M","17","18","16:05","17:20","M  W     ","ROWELL","244","Alsofrom, Jane E.","3"
"MLRS","175","Medical Imaging","93683","ZRA","LEC","C","3","1","16:05","17:20","M  W     ","ROWELL","244","Alsofrom, Jane E.","3"
"MLRS","281","Applied Molecular Biology","90336","A","LCLB","M","24","13","10:00","11:15"," T  R    ","ROWELL","115","Chaudhry, M. Ahmad ","3"
"MLRS","281","Applied Molecular Biology","93684","ZRA","LEC","C","6","0","10:00","11:15"," T  R    ","ROWELL","115","Chaudhry, M. Ahmad ","3"
"MLRS","282","Applied Molecular Biology Lab","91732","A","LAB","M","20","13","12:50","15:50","  W     ","ROWELL","318","Ray, Koela ","1"
"MLRS","282","Applied Molecular Biology Lab","93685","ZRA","LAB","C","4","0","12:50","15:50","  W     ","ROWELL","318","Ray, Koela ","1"
"MLRS","293","Undergraduate Research I","92042","A","RSCH","M","5","0","TBA","","       ","","","Wilcke, Burton William","1 to 6"
"MLRS","294","Undergraduate Research II","92046","A","RSCH","M","5","1","TBA","","       ","","","Wilcke, Burton William","1 to 6"
